check_id,record_id,stock_code,company_short,subscriber_name,subscription_amount_wan,subscription_shares_wan,disclosed_price_yuan,computed_price_yuan,abs_diff,status,note
SUB-603418-057,AUTO-SUB-603418-006,603418,友升股份,安吉璞颉,5000,148.6667,33.6323,33.6323,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-603418-058,AUTO-SUB-603418-007,603418,友升股份,财投晨源,3000,89.2,33.6323,33.6323,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-603418-059,AUTO-SUB-603418-008,603418,友升股份,深圳达晨创程,2912.5,86.5984,33.6323,33.6323,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-603418-060,AUTO-SUB-603418-009,603418,友升股份,杉创智至,2000,59.4667,33.6323,33.6323,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-603418-061,AUTO-SUB-603418-010,603418,友升股份,杭州达晨创程,1747.5,51.959,33.6323,33.6323,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-603418-062,AUTO-SUB-603418-011,603418,友升股份,达晨财汇,1000,29.7333,33.6323,33.6323,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-603418-063,AUTO-SUB-603418-012,603418,友升股份,达晨财智,1000,29.7333,33.6323,33.6323,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-603418-064,AUTO-SUB-603418-013,603418,友升股份,财智创赢,340,10.1093,33.6323,33.6324,0.0001,PASS,披露单价与金额/股份数计算值一致。
SUB-688758-065,AUTO-SUB-688758-001,688758,赛分科技,源峰磐赛,20000,1571815,,0.0127,,INFO,PDF未直接披露单价，脚本仅生成可复核计算值。
SUB-688758-066,AUTO-SUB-688758-002,688758,赛分科技,珠海峦恒,8000,628726,,0.0127,,INFO,PDF未直接披露单价，脚本仅生成可复核计算值。
SUB-688758-067,AUTO-SUB-688758-003,688758,赛分科技,高瓴祈睿,8000,628726,,0.0127,,INFO,PDF未直接披露单价，脚本仅生成可复核计算值。
SUB-688758-068,AUTO-SUB-688758-004,688758,赛分科技,国药中生,5876.59,461846,,0.0127,,INFO,PDF未直接披露单价，脚本仅生成可复核计算值。
SUB-688758-069,AUTO-SUB-688758-005,688758,赛分科技,圣成投资,123.41,9699,,0.0127,,INFO,PDF未直接披露单价，脚本仅生成可复核计算值。
SUB-688758-070,AUTO-SUB-688758-006,688758,赛分科技,国药二期,1980.2,155625,,0.0127,,INFO,PDF未直接披露单价，脚本仅生成可复核计算值。
SUB-688758-071,AUTO-SUB-688758-007,688758,赛分科技,圣祁投资,19.8,1556,,0.0127,,INFO,PDF未直接披露单价，脚本仅生成可复核计算值。
SUB-688758-072,AUTO-SUB-688758-008,688758,赛分科技,夏尔巴二期,5000,392954,,0.0127,,INFO,PDF未直接披露单价，脚本仅生成可复核计算值。
SUB-688758-073,AUTO-SUB-688758-009,688758,赛分科技,甘李药业,3000,235772,,0.0127,,INFO,PDF未直接披露单价，脚本仅生成可复核计算值。
SUB-688758-074,AUTO-SUB-688758-010,688758,赛分科技,吴征涛,2000,157182,,0.0127,,INFO,PDF未直接披露单价，脚本仅生成可复核计算值。
SUB-920100-075,AUTO-SUB-920100-001,920100,三协电机,深圳市稳正景明创业投资企业（有限合伙）,1580.0001,352.6786,4.48,4.48,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920100-076,AUTO-SUB-920100-002,920100,三协电机,深圳市稳正长泽创业投资企业（有限合伙）,794.3999,177.3214,4.48,4.48,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920100-077,AUTO-SUB-920100-003,920100,三协电机,盛祎,954.865,176.5,5.41,5.41,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920100-078,AUTO-SUB-920100-004,920100,三协电机,盛松,81.15,15,5.41,5.41,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920100-079,AUTO-SUB-920100-005,920100,三协电机,薛小丽,81.15,15,5.41,5.41,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920100-080,AUTO-SUB-920100-006,920100,三协电机,倪进宽,81.15,15,5.41,5.41,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920100-081,AUTO-SUB-920100-007,920100,三协电机,余方成,81.15,15,5.41,5.41,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920100-082,AUTO-SUB-920100-008,920100,三协电机,吴春扣,54.1,10,5.41,5.41,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920100-083,AUTO-SUB-920100-009,920100,三协电机,陆宇君,43.28,8,5.41,5.41,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920100-084,AUTO-SUB-920100-010,920100,三协电机,戈翔俊,43.28,8,5.41,5.41,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920100-085,AUTO-SUB-920100-011,920100,三协电机,陈都亮,27.05,5,5.41,5.41,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920100-086,AUTO-SUB-920100-012,920100,三协电机,圣利,27.05,5,5.41,5.41,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920100-087,AUTO-SUB-920100-013,920100,三协电机,董雪强,16.23,3,5.41,5.41,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920100-088,AUTO-SUB-920100-014,920100,三协电机,文涛,16.23,3,5.41,5.41,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920100-089,AUTO-SUB-920100-015,920100,三协电机,付荷庆,16.23,3,5.41,5.41,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920100-090,AUTO-SUB-920100-016,920100,三协电机,陈韵,5.41,1,5.41,5.41,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920100-091,AUTO-SUB-920100-017,920100,三协电机,盛月瑶,210.99,39,5.41,5.41,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920116-092,AUTO-SUB-920116-001,920116,星图测控,北京四方继保自动化股份有限公司,1200,1200,1,1.0,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920116-093,AUTO-SUB-920116-002,920116,星图测控,罗永红,400,400,1,1.0,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920116-094,AUTO-SUB-920116-003,920116,星图测控,王金林,400,400,1,1.0,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920116-095,AUTO-SUB-920116-004,920116,星图测控,共青城策星银河投资合伙企业（有限合伙）,1757.7,279,6.3,6.3,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920116-096,AUTO-SUB-920116-005,920116,星图测控,共青城策星逐日投资合伙企业（有限合伙）,1077.3,171,6.3,6.3,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-920116-097,AUTO-SUB-920116-006,920116,星图测控,共青城星图幸福二期投资合伙企业（有限合伙）,1890,300,6.3,6.3,0.0,PASS,披露单价与金额/股份数计算值一致。
