profile_id,stock_code,company_short,investor_name_candidate,investor_type_candidate,is_pevc_candidate,classification_basis,evidence_pages,occurrence_count,manual_review_status,amac_filing_code,gp_name,lp_structure,deep_field_rule
W13IP022,920123,芭薇股份,共青城黑石投资管理,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,45,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP023,920123,芭薇股份,安义同创宏图创业投资,VC,yes,名称或上下文明确出现创业投资/创投,45,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP024,920123,芭薇股份,工银（深圳）股权投资基金,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,47,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP025,920123,芭薇股份,广州市白云投资基金,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,44,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP026,920123,芭薇股份,新余同创佳华投资合伙企业（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,45,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP027,920123,芭薇股份,杭州叩问股权投资,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,44,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP028,920123,芭薇股份,浙江余杭转型升级产业投资,CVC候选,uncertain,产业投资名称只能形成CVC候选，仍需核验出资人与主营关系,45,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP029,920123,芭薇股份,深圳南海成长同盛股权投资基金,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,47,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP030,920123,芭薇股份,芭薇有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,35、36,3,待人工确认,,,,原文或权威来源未披露时留空
W13IP031,920304,迪尔化工,泰安市众城企业管理咨询合伙企业（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,31,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP032,920304,迪尔化工,泰安市华懋投资合伙企业,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,41,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP033,920304,迪尔化工,泰安市道和投资合伙企业（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,31,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP034,920304,迪尔化工,济南泽惠股权投资,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,31,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP035,920438,戈碧迦,上海怀德投资管理,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,55,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP036,920438,戈碧迦,武汉潜龙创业投资,VC,yes,名称或上下文明确出现创业投资/创投,43、45、55,3,待人工确认,,,,原文或权威来源未披露时留空
W13IP037,920438,戈碧迦,深圳市西博光学材料创投,VC,yes,名称或上下文明确出现创业投资/创投,55,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP038,920438,戈碧迦,秭归弘毅企业管理咨询中心（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,47、48,2,待人工确认,,,,原文或权威来源未披露时留空
