sample_id,company_name,stock_code,exchange,board,listing_date,ipo_year,source_platform,source_page_url,prospectus_title,prospectus_url,prospectus_version,prospectus_date,download_status,parse_status,locate_status,extract_status,review_status,notes
W3-2024-BSE021,科隆新材,920098,BSE,北交所,2024-12-05,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920098,科隆新材:招股说明书,https://www.bse.cn/disclosure/2024/2024-11-22/1732267256_073253.pdf,正式稿,2024-11-22,success,success,success,success,revise,北交所Week3样本；证券简称=科隆新材；地区=陕西省；行业=橡胶和塑料制品业；保荐机构=国新证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE022,林泰新材,920106,BSE,北交所,2024-12-18,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920106,林泰新材:向不特定合格投资者公开发行股票并在北京证券交易所上市招股说明书,https://www.bse.cn/disclosure/2024/2024-12-06/1733479850_319910.pdf,正式稿,2024-12-06,success,success,success,success,revise,北交所Week3样本；证券简称=林泰新材；地区=江苏省；行业=汽车制造业；保荐机构=东吴证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE023,方正阀门,920082,BSE,北交所,2024-12-26,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920082,方正阀门:招股说明书,https://www.bse.cn/disclosure/2024/2024-12-13/1734087391_841895.pdf,正式稿,2024-12-13,success,success,success,success,revise,北交所Week3样本；证券简称=方正阀门；地区=浙江省；行业=通用设备制造业；保荐机构=浙商证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2023-BSE001,迅安科技,920950,BSE,北交所,2023-01-11,2023,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920950,迅安科技:招股说明书,https://www.bse.cn/disclosure/2022/2022-12-22/1671694441_779022.pdf,正式稿,2022-12-22,success,success,success,success,revise,北交所Week3样本；证券简称=迅安科技；地区=江苏省；行业=专用设备制造业；保荐机构=光大证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2023-BSE002,利尔达,920249,BSE,北交所,2023-02-17,2023,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920249,利尔达:招股说明书,https://www.bse.cn/disclosure/2023/2023-01-30/1675066930_267828.pdf,正式稿,2023-01-30,success,success,success,success,revise,北交所Week3样本；证券简称=利尔达；地区=浙江省；行业=批发业；保荐机构=国信证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2023-BSE003,*ST康乐,920575,BSE,北交所,2023-03-15,2023,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920575,康乐卫士:招股说明书（注册稿）,https://www.bse.cn/disclosure/2023/2023-02-28/1677578647_721315.pdf,正式稿,2023-02-28,success,success,success,success,revise,北交所Week3样本；证券简称=*ST康乐；地区=北京市；行业=医药制造业；保荐机构=中信证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2023-BSE004,迪尔化工,920304,BSE,北交所,2023-04-18,2023,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920304,迪尔化工:招股说明书,https://www.bse.cn/disclosure/2023/2023-03-30/1680171127_157748.pdf,正式稿,2023-03-30,success,success,success,success,revise,北交所Week3样本；证券简称=迪尔化工；地区=山东省；行业=化学原料和化学制品制造业；保荐机构=中泰证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2023-BSE005,宁新新材,920719,BSE,北交所,2023-05-26,2023,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920719,宁新新材:向不特定合格投资者公开发行股票并在北京证券交易所上市招股说明书,https://www.bse.cn/disclosure/2023/2023-05-08/1683539772_634679.pdf,正式稿,2023-05-08,success,success,success,success,revise,北交所Week3样本；证券简称=宁新新材；地区=江西省；行业=非金属矿物制品业；保荐机构=方正证券承销保荐有限责任公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2023-BSE006,瑞星股份,920717,BSE,北交所,2023-07-03,2023,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920717,瑞星股份:向不特定合格投资者公开发行股票并在北京证券交易所上市招股说明书,https://www.bse.cn/disclosure/2023/2023-06-13/1686641891_422903.pdf,正式稿,2023-06-13,success,success,success,success,revise,北交所Week3样本；证券简称=瑞星股份；地区=河北省；行业=专用设备制造业；保荐机构=华西证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2023-BSE007,博迅生物,920504,BSE,北交所,2023-08-17,2023,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920504,博迅生物:向不特定合格投资者公开发行股票并在北京证券交易所上市招股说明书,https://www.bse.cn/disclosure/2023/2023-08-03/1691052981_968995.pdf,正式稿,2023-08-03,success,success,success,success,revise,北交所Week3样本；证券简称=博迅生物；地区=上海市；行业=仪器仪表制造业；保荐机构=国金证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2023-BSE008,开特股份,920978,BSE,北交所,2023-09-28,2023,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920978,开特股份:向不特定合格投资者公开发行股票并在北京证券交易所上市招股说明书,https://www.bse.cn/disclosure/2023/2023-09-18/1695034338_206672.pdf,正式稿,2023-09-18,success,success,success,success,revise,北交所Week3样本；证券简称=开特股份；地区=湖北省；行业=汽车制造业；保荐机构=华源证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2023-BSE009,纳科诺尔,920522,BSE,北交所,2023-11-16,2023,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920522,纳科诺尔:招股说明书,https://www.bse.cn/disclosure/2023/2023-10-30/1698659303_685783.pdf,正式稿,2023-10-30,success,success,success,success,revise,北交所Week3样本；证券简称=纳科诺尔；地区=河北省；行业=专用设备制造业；保荐机构=国泰海通证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2023-BSE010,莱赛激光,920363,BSE,北交所,2023-12-28,2023,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920363,莱赛激光:向不特定合格投资者公开发行股票并在北京证券交易所上市招股说明书,https://www.bse.cn/disclosure/2023/2023-12-14/1702542036_328079.pdf,正式稿,2023-12-14,success,success,success,success,revise,北交所Week3样本；证券简称=莱赛激光；地区=江苏省；行业=仪器仪表制造业；保荐机构=国泰海通证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
